sim_id,scenario_id,start_date,SPX_Return,SPX_Volatility,Card1_Active,Card2_Active,Card3_Active,Card4_Active,Card5_Active,Card6_Active,Card7_Active,Card8_Active,Card9_Active,Card10_Active,Card11_Active,Final_Return
62,lehman,2008-07-03,-36.6514,3.4605,0,0,0,1,0,0,0,0,1,1,1,-23.87
63,lehman,2009-01-26,8.8624,2.22,0,1,0,0,1,0,1,0,0,0,1,11.77
64,lehman,2008-07-31,-29.9437,3.7546,1,0,0,0,0,0,0,1,0,1,1,-18.43
65,lehman,2007-11-02,-12.8791,1.4732,1,0,0,0,1,0,0,0,1,0,1,-8.56
66,lehman,2008-08-31,-34.8808,3.8406,1,0,0,1,0,0,0,1,1,0,0,-1.81
67,lehman,2008-07-18,-27.8405,3.719,0,0,0,1,1,0,0,1,0,0,1,-14.57
68,lehman,2008-11-26,-4.9714,2.6414,1,0,1,0,1,0,0,0,0,0,1,10.52
69,lehman,2008-07-12,-30.8955,3.6684,1,1,1,1,0,0,0,0,0,0,0,-6.63
70,lehman,2008-06-20,-30.2535,3.1417,0,1,0,0,0,0,1,1,0,0,1,-22.51
71,lehman,2008-05-01,-14.3507,1.5875,0,0,1,0,0,1,0,0,0,1,1,-7.81
72,lehman,2007-12-15,-3.9851,1.3751,0,1,1,1,0,0,0,0,0,1,0,-1.06
73,lehman,2007-10-03,-10.282,1.2953,0,1,1,0,0,0,1,0,1,0,0,-6.58
74,lehman,2008-02-18,-7.0723,1.3062,0,0,1,0,0,1,1,1,0,0,0,3.19
75,lehman,2008-05-29,-32.7343,2.6581,1,0,0,0,1,0,1,1,0,0,0,-14.58
76,lehman,2008-11-24,-2.2799,2.6563,1,1,0,1,0,0,1,0,0,0,0,3.35
77,lehman,2009-02-06,5.8393,2.1642,1,1,0,0,1,0,1,0,0,0,0,2.74
78,lehman,2008-08-25,-33.3981,3.7829,0,0,0,0,0,1,1,1,0,0,1,-18.89
79,lehman,2008-03-29,-4.2345,1.2238,0,0,0,1,1,1,0,0,1,0,0,1.1
80,lehman,2008-02-28,-7.8732,1.3242,0,1,0,0,1,1,0,0,1,0,0,3.5
81,lehman,2008-02-02,-4.262,1.2864,1,0,0,1,0,0,1,0,0,1,0,0.26
82,lehman,2009-02-03,9.7494,2.1832,0,0,1,0,0,0,1,1,0,1,0,4.94
83,lehman,2008-12-12,3.1441,2.3811,1,0,0,0,0,1,0,0,0,1,1,11.53
84,lehman,2008-04-16,-8.9689,1.2049,1,0,1,1,0,1,0,0,0,0,0,-4.57
85,lehman,2007-12-22,-4.7512,1.3691,0,1,0,0,1,0,0,0,1,0,1,9.51
86,lehman,2008-12-16,-0.4315,2.3442,0,0,0,1,0,0,1,0,0,1,1,-0.09
87,lehman,2008-07-16,-32.1305,3.6776,0,0,0,1,0,1,0,1,0,0,1,-28.29
88,lehman,2008-10-14,-32.2121,3.391,0,1,0,0,1,0,0,1,0,1,0,3.78
89,lehman,2008-04-17,-7.1597,1.2236,1,0,0,0,0,0,0,1,1,0,1,-4.62
90,lehman,2008-02-17,-7.0723,1.3062,1,1,1,0,0,0,0,1,0,0,0,-2.18
91,lehman,2008-05-20,-35.6219,2.1664,1,1,0,0,0,0,1,0,0,1,0,-10.62
92,lehman,2008-06-07,-30.9342,3.0095,0,1,0,1,0,0,0,0,1,0,1,-22.88
93,lehman,2009-01-17,17.3456,2.2477,1,0,1,1,0,1,0,0,0,0,0,12.23
94,lehman,2008-09-23,-30.4136,3.7675,0,0,0,1,1,0,1,0,0,0,1,9.99
95,lehman,2008-09-30,-36.2692,3.6564,0,0,1,1,0,0,0,1,1,0,0,-14.22
96,lehman,2008-02-02,-4.262,1.2864,1,0,0,0,0,1,0,0,1,0,1,-0.96
97,lehman,2007-11-03,-11.9474,1.4743,0,1,0,1,0,0,1,0,1,0,0,6.58
98,lehman,2009-03-16,33.0061,1.7523,0,0,1,1,0,0,0,0,1,1,0,-8.06
99,lehman,2009-01-23,9.6184,2.2203,0,0,1,1,0,1,1,0,0,0,0,14.39
100,lehman,2008-11-15,0.938,2.9077,0,0,0,1,0,1,1,0,0,0,1,9.2
101,lehman,2009-04-11,16.2228,1.4269,1,0,0,0,1,1,0,0,0,1,0,7.8
102,lehman,2008-05-05,-15.7458,1.5928,0,0,0,1,0,0,1,1,0,1,0,-2.82
